event_type,simulation_time,message_id,pair_id,direction,source_user_id,target_user_id,source_access_satellite_id,target_access_satellite_id,delay_ms,hop_count,path_length,path_satellite_ids,note
generate,6.050,case3-176-76-0,76,B_to_A,176,76,359,234,,,,,
arrival,6.050,case3-20-120-0,20,A_to_B,20,120,,359,63.805,6,8,234 259 284 309 334 359,
arrival,6.050,case3-24-124-0,24,A_to_B,24,124,,359,63.684,6,8,234 259 284 309 334 359,
arrival,6.050,case3-72-172-0,72,A_to_B,72,172,,359,63.769,6,8,234 259 284 309 334 359,
arrival,6.050,case3-120-20-0,20,B_to_A,120,20,,234,63.805,6,8,359 334 309 284 259 234,
arrival,6.050,case3-124-24-0,24,B_to_A,124,24,,234,63.683,6,8,359 334 309 284 259 234,
arrival,6.050,case3-22-122-0,22,A_to_B,22,122,,383,61.105,7,9,353 354 355 356 357 382 383,
arrival,6.050,case3-70-170-0,70,A_to_B,70,170,,383,61.118,7,9,353 354 355 356 357 382 383,
arrival,6.050,case3-74-174-0,74,A_to_B,74,174,,383,61.365,7,9,353 354 355 356 357 382 383,
arrival,6.050,case3-21-121-0,21,A_to_B,21,121,,383,83.180,8,10,234 259 284 309 334 359 384 383,
arrival,6.050,case3-73-173-0,73,A_to_B,73,173,,383,82.899,8,10,234 259 284 309 334 359 384 383,
arrival,6.050,case3-122-22-0,22,B_to_A,122,22,,353,60.834,7,9,383 382 381 380 379 354 353,
arrival,6.050,case3-121-21-0,21,B_to_A,121,21,,234,77.673,8,10,383 358 333 308 283 258 233 234,
arrival,6.050,case3-172-72-0,72,B_to_A,172,72,,234,63.767,6,8,359 334 309 284 259 234,
arrival,6.050,case3-176-76-0,76,B_to_A,176,76,,234,63.578,6,8,359 334 309 284 259 234,
arrival,6.050,case3-170-70-0,70,B_to_A,170,70,,353,60.846,7,9,383 382 381 380 379 354 353,
arrival,6.050,case3-174-74-0,74,B_to_A,174,74,,353,61.094,7,9,383 382 381 380 379 354 353,
arrival,6.050,case3-23-123-0,23,A_to_B,23,123,,103,104.290,12,14,234 233 208 207 182 181 156 155 130 129 104 103,
